,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
0,Tuvalu,TUV,Pacific,3174.05,,0.0109999999403954,,1.34,,16.5366382598877
1,Liberia,LBR,SubSaharian,488.26999000000006,0.42699999,,53.599998474121094,3.72,14.2,10.036333084106447
2,Togo,TGO,SubSaharian,1036.28,0.484,6.928999900817871,,1.4400001,,5.2468767166137695
3,Peru,PER,LatAm,9227.1504,0.73699999,30.80900001525879,14.100000381469732,5.380000099999998,,5.473034858703613
4,Sao Tome and Principe,STP,SubSaharian,2150.55,0.565,,,5.6900001,,8.353466033935549
5,Antigua and Barbuda,ATG,Caribbean,12257.71,0.78399998,,,8.5600004,,5.541683197021484
6,Panama,PAN,LatAm,15137.04,0.78500003,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426
7,Tunisia,TUN,NorthAfrica,6912.2798,0.72299999,,13.800000190734858,1.39,,7.003858089447022
8,Malta,MLT,WesternDem,24094.641,0.85299999,0.42500001192092896,5.800000190734862,8.489999800000001,25.9,9.749919891357422
9,Hungary,HUN,EastEurope,18310.811,0.83399999,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632567
10,Morocco,MAR,NorthAfrica,3999.5601,0.64499998,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041
11,Nepal,NPL,SouthAsia,1462.08,0.55500001,28.17499923706055,33.59999847412109,0.27000001,24.6,5.7972259521484375
12,Czech Republic,CZE,EastEurope,23847.08,0.875,10.51200008392334,3.0999999046325684,12.68,33.400002,7.410911560058594
13,Austria,AUT,WesternDem,38868.039,0.89200002,8.543999671936035,3.299999952316284,12.32,,11.20547294616699
14,Ethiopia (1993-),ETH,SubSaharian,900.77002,0.44100001,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
15,Mongolia,MNG,EastAsia,6277.8999,0.73299998,2.881999969482422,23.0,,26.799999,4.730341911315918
16,Greece,GRC,WesternDem,25295.27,0.86500001,10.927000045776367,4.099999904632568,7.530000200000001,43.400002,8.084266662597656
17,Gabon,GAB,SubSaharian,14525.28,0.69400001,,42.400001525878906,8.8599997,,3.437471628189087
18,Iceland,ISL,WesternDem,31313.609,0.91900003,0.3289999961853027,1.7999999523162842,7.4499998,17.5,8.859166145324707
19,South Africa,ZAF,SubSaharian,8820.0596,0.66500002,54.14699935913086,33.299999237060554,7.380000099999998,18.9,8.796984672546387
20,Ireland,IRL,WesternDem,46422.07,0.92000002,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785
21,Latvia,LVA,EastEurope,16583.67,0.82800001,2.000999927520752,7.599999904632567,10.37,35.900002,5.880693435668945
22,Iraq,IRQ,NorthAfrica,4178.2598,0.64899999,32.57799911499023,,0.17,,5.538873195648193
23,Bosnia and Herzegovina,BIH,EastEurope,8507.6504,0.74699998,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102
24,Uruguay,URY,LatAm,12804.84,0.79400003,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914
25,Rwanda,RWA,SubSaharian,1440.39,0.493,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
26,Liechtenstein,LIE,WesternDem,102243.52,0.91100001,,,,,
27,Lithuania,LTU,EastEurope,17559.75,0.84600002,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128
28,Portugal,PRT,WesternDem,23744.631,0.84100002,10.40100002288818,2.900000095367432,9.880000099999998,22.6,9.501075744628906
29,France (1963-),FRA,WesternDem,34007.898,0.89399999,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756
30,Suriname,SUR,Caribbean,6049.1499,0.72299999,0.546999990940094,18.5,6.3200002,,5.687469959259032
31,Maldives,MDV,SouthAsia,13349.76,0.70099998,0.335999995470047,,1.92,,13.7335205078125
32,Armenia,ARM,EastEurope,6451.9399,0.741,2.9800000190734863,14.699999809265142,3.9100001,28.0,4.480149269104004
33,Nicaragua,NIC,LatAm,2527.1001,0.64200002,5.946000099182129,20.60000038146973,3.55,,9.040139198303224
34,Cape Verde,CPV,SubSaharian,3972.6101,0.64600003,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
35,Macedonia,MKD,EastEurope,9610.5996,0.74599999,2.069000005722046,6.5,1.13,,6.476374626159668
36,United States,USA,WesternDem,47769.699,0.91799998,318.7890014648438,6.0,8.819999699999997,18.1,17.140754699707028
37,Andorra,AND,WesternDem,32367.33,0.85699999,,,9.9799995,33.099998,8.127135276794434
38,St Lucia,LCA,Caribbean,11095.8,0.73500001,0.1669999957084656,,9.9700003,,6.719041347503662
39,Angola,AGO,SubSaharian,3771.2,0.53100002,25.78899955749512,99.5,8.3299999,,3.30698299407959
40,Poland,POL,EastEurope,19990.939,0.852,38.01800155639648,4.300000190734863,10.71,29.4,6.350246429443359
41,Luxembourg,LUX,WesternDem,61404.48,0.89600003,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
42,Georgia,GEO,EastEurope,7148.5698,0.76800001,3.7300000190734863,17.79999923706055,6.130000099999998,30.0,7.416659355163574
43,Benin,BEN,SubSaharian,1413.05,0.48100001,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
44,Malawi,MWI,SubSaharian,938.34998,0.47299999,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
45,Germany,DEU,WesternDem,39486.699,0.92400002,80.98300170898438,3.400000095367432,11.03,30.700001,11.297000885009773
46,Slovakia,SVK,EastEurope,21776.34,0.84200001,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691
47,Albania,ALB,EastEurope,8516.7002,0.76200002,,15.0,4.5100002,29.700001,5.883105278015138
48,Costa Rica,CRI,LatAm,9485.71,0.77499998,,8.600000381469728,3.45,14.2,9.313112258911133
49,St Vincent and the Grenadines,VCT,Caribbean,7454.8799,0.72000003,0.1099999994039536,,7.0100002,,8.630239486694336
50,Fiji,FJI,Pacific,3848.72,0.73400003,0.8799999952316284,,,26.5,4.487498760223389
51,St Kitts and Nevis,KNA,Caribbean,11237.75,0.76200002,,,8.680000300000001,,5.080365180969238
52,Zambia,ZMB,SubSaharian,1916.79,0.57599998,,56.4000015258789,2.4100001,15.9,4.986764907836914
53,Burkina Faso,BFA,SubSaharian,1095.96,0.39899999,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
54,Qatar,QAT,NorthAfrica,104049.44,0.85500002,2.045000076293945,6.300000190734862,1.15,,2.18706226348877
55,Sweden,SWE,WesternDem,39000.91,0.90899998,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063
56,"Korea, North",PRK,EastAsia,1727.8199,,,,3.3499999,,
57,Brunei,BRN,SouthEastAsia,46103.84,0.86400002,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
58,Sierra Leone,SLE,SubSaharian,979.95001,0.43099999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
59,Thailand,THA,SouthEastAsia,9295.5703,0.73799998,68.65699768066406,11.399999618530268,6.4099998,21.5,4.122164249420166
60,Jordan,JOR,NorthAfrica,5188.9199,0.741,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
61,Mali,MLI,SubSaharian,1063.26,0.43799999,14.854000091552727,79.5999984741211,0.61000001,18.6,6.862166404724121
62,Tajikistan,TJK,EastEurope,3592.6499,0.625,8.131999969482424,49.0,0.31999999,,6.880884170532228
63,Russia,RUS,EastEurope,19063.689,0.80500001,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
64,Singapore,SGP,SouthEastAsia,54268.148,0.92400002,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
65,Chile,CHL,LatAm,15519.08,0.84500003,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718
66,Seychelles,SYC,SubSaharian,9583.3203,0.78100002,0.0900000035762787,11.199999809265142,9.7200003,26.700001,3.369816780090332
67,Indonesia,IDN,SouthEastAsia,4780.0098,0.68599999,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
68,Turkmenistan,TKM,EastEurope,13217.39,0.68800002,,,2.9000001,,2.067386150360107
69,Canada,CAN,WesternDem,36577.078,0.91900003,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
70,Laos,LAO,SouthEastAsia,2926.77,0.58200002,6.8979997634887695,54.0,5.3899999,34.0,1.865545511245728
71,Tonga,TON,Pacific,3962.0601,0.71799999,0.1040000021457672,,0.95999998,30.200001,5.176770687103272
72,Norway,NOR,WesternDem,57634.77,0.94800001,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
73,Cambodia,KHM,SouthEastAsia,1927.0601,0.55800003,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
74,Afghanistan,AFG,SouthAsia,1282.64,0.479,29.82500076293945,,0.0099999998,,8.182273864746094
75,Guyana,GUY,Caribbean,2042.8199,0.63800001,0.7559999823570251,29.0,7.639999900000001,,5.247803688049316
76,Sudan (2012-),SDN,SubSaharian,,0.48800001,,,,,8.428774833679201
77,Mozambique,MOZ,SubSaharian,852.39001,0.414,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576
78,Libya,LBY,NorthAfrica,4102.8398,0.71899998,6.265999794006348,13.199999809265142,0.0,,4.968935012817383
79,San Marino,SMR,WesternDem,42664.211,,0.034000001847743995,,,,6.1290650367736825
80,Senegal,SEN,SubSaharian,1527.99,0.491,,45.20000076293945,0.25999999,11.1,4.664971828460693
81,Finland,FIN,WesternDem,36958.211,0.89300001,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406
82,Australia,AUS,WesternDem,38611.949,0.93699998,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745117
83,Honduras,HND,LatAm,3303.1399,0.62300003,,19.39999961853027,2.8699999,18.9,8.72268009185791
84,Serbia,SRB,EastEurope,11343.92,0.77499998,7.166999816894531,5.699999809265138,9.0900002,42.099998,10.36881160736084
85,Lebanon,LBN,NorthAfrica,14711.97,0.76300001,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021
86,Yemen,YEM,NorthAfrica,2170.9299,0.49900001,,46.29999923706055,0.039999999,,5.636990070343018
87,Niger,NER,SubSaharian,644.53998,0.35100001,,,0.15000001,8.3999996,5.821299076080322
88,Bangladesh,BGD,SouthAsia,1796.64,0.57499999,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.8189985752105717
89,Equatorial Guinea,GNQ,SubSaharian,15412.43,0.58200002,,,10.72,,3.804079055786133
90,Cameroon,CMR,SubSaharian,2658.51,0.514,,61.099998474121094,6.1900001,18.799999,4.103671550750732
91,Pakistan (1971-),PAK,SouthAsia,2855.55,0.54799998,186.19000244140636,69.30000305175781,0.039999999,22.6,2.613916397094727
92,Guinea,GIN,SubSaharian,993.83002,0.414,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
93,Belarus,BLR,EastEurope,17780.641,0.79799998,9.468000411987305,,13.94,27.9,5.687721729278565
94,El Salvador,SLV,LatAm,332.26999,0.67799997,,13.600000381469732,2.52,,6.772402763366699
95,Cote d'Ivoire,CIV,SubSaharian,1354.29,0.46599999,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
96,"Congo, Democratic Republic",COD,SubSaharian,324.16,0.42500001,,74.5,1.8200001,,4.328233718872069
