,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522462
190,0.76899999,VEN,LatAm,10513.96,,13.100000381469732,6.4699998,,5.256702423095703
34,0.39399999,TCD,SubSaharian,1651.05,,89.4000015258789,0.63999999,,3.6211643218994136
123,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,4.699999809265137,9.069999699999999,17.6,11.02960968017578
88,0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736327
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
9,0.89200002,AUT,WesternDem,38868.039,8.543999671936035,3.2999999523162837,12.32,,11.20547294616699
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.399999618530268,6.4099998,21.5,4.122164249420166
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.4000000953674316,8.680000300000001,25.700001,10.89729309082031
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283
26,0.40599999,BDI,SubSaharian,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737
106,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288
8,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745117
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
51,0.73900002,ECU,LatAm,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465
110,0.75800002,MEX,LatAm,13609.42,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585
139,0.42100000000000004,GNB,SubSaharian,961.26001,,,3.5699998999999996,,5.593137264251709
97,0.42699999,LBR,SubSaharian,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.4000000953674316,12.6,23.9,10.59475135803223
28,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
150,0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,7.4000000953674325,0.09000000400000001,17.1,4.684084892272949
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102
114,0.80400002,MNE,EastEurope,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815
145,0.76200002,KNA,Caribbean,11237.75,,,8.680000300000001,,5.080365180969238
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.4000000953674316,10.75,23.200001,7.783196449279785
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.099998474121094,1.16,18.799999,6.975581645965576
169,0.55299997,SYR,NorthAfrica,4284.4199,,14.199999809265142,0.75999999,,3.254531145095825
3,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
72,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.100000381469732,0.029999999,11.7,6.8949222564697275
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.8189985752105713
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
54,0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734862,2.3699999,14.1,3.503350019454956
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.9000000953674316,,33.200001,6.379294395446777
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
115,0.64499998,MAR,NorthAfrica,3999.5601,33.179000854492195,26.79999923706055,0.43000001,22.0,5.907778263092041
44,0.773,CUB,LatAm,5899.9399,,,4.369999900000001,36.099998,11.05880069732666
156,0.84200001,SVK,EastEurope,21776.34,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032
143,0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.7972259521484375
159,,SOM,SubSaharian,1436.74,,,0.0,,
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961
141,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,6.300000190734862,1.15,,2.18706226348877
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.4753034114837649
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
149,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935549
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
91,0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,9.5,0.02,,3.042368412017822
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,33.299999237060554,7.380000099999999,18.9,8.796984672546387
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662
132,0.78500003,PAN,LatAm,15137.04,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426
70,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
23,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
13,0.741,ARM,EastEurope,6451.9399,2.9800000190734863,14.699999809265142,3.9100001000000004,28.0,4.480149269104004
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
148,,SMR,WesternDem,42664.210999999996,0.034000001847743995,,,,6.1290650367736825
94,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001000000004,,7.340400695800781
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188478,3.2999999523162837,2.6199999,30.4,7.808308124542236
65,0.57499999,GHA,SubSaharian,2584.6001,,48.599998474121094,1.64,6.3000002,3.557291984558107
5,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.5416831970214835
60,0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
36,0.73400003,CHN,EastAsia,9283.3799,,12.100000381469732,5.7800002,25.9,5.548227787017822
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.4000000953674316,11.03,30.700001,11.297000885009771
151,0.491,SEN,SubSaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693
113,0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,15.100000381469732,9.989999800000001,23.799999,10.32365608215332
85,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.200000047683716,7.5500002,22.799999,10.22874450683594
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918
62,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,17.79999923706055,6.130000099999999,30.0,7.416659355163574
16,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
52,0.67799997,SLV,LatAm,332.26999,,13.600000381469732,2.52,,6.772402763366699
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.199999809265142,1.45,27.0,5.41495943069458
